"author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","platform","subgroup","ROB.low.","moderate","critical","outcome","study.type","study"
"Palacios, 2021",238,2,168,4870,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"symp","RCT","Palacios, 2021-238"
"Sadoff, 2021",280,2,320,19544,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"symp","RCT","Sadoff, 2021-280"
"Tanriover, 2021",304,2,32,3568,"all","all","all","all","all","all","Turkish",0,1,0,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RCT","Tanriover, 2021-304"
"Voysey, 2021a",331,2,146,6297,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RCT","Voysey, 2021a-331"
"Voysey, 2021a",334,2,62,5829,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RCT","Voysey, 2021a-334"
"Voysey, 2021b",336,2,165,5721,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RCT","Voysey, 2021b-336"
"Emary,2021",372,2,40,4290,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","unvaccinated","",NA,NA,NA,"symp","RCT","Emary,2021-372"
"Andrews, 2022",14,3,30740,91754,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Butt-B-2022",67,3,338,236693,"all","all","all","all","all","all","All",NA,NA,NA,NA,NA,NA,"1","0","0","overall","all","all","all","all","all","two-dose-mRNA","overall",NA,NA,NA,"symp","CC","Butt-B-2022-67"
"Carazo, 2021",83,3,20,1974,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"symp","CC","Carazo, 2021-83"
"Lopez, 2021",204,3,49,15749,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","two-dose-mRNA","",NA,NA,NA,"symp","CC","Lopez, 2021-204"
"Lopez, 2021",207,3,122,15749,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","two-dose-mRNA","",NA,NA,NA,"symp","CC","Lopez, 2021-207"
"Powell, 2021",262,3,4,273,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","two-dose-mRNA","",NA,NA,NA,"symp","CC","Powell, 2021-262"
"Powell, 2021",264,3,76,452,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","two-dose-mRNA","",NA,NA,NA,"symp","CC","Powell, 2021-264"
"Powell, 2021",266,3,106,5985,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","two-dose-mRNA","",NA,NA,NA,"symp","CC","Powell, 2021-266"
"Powell, 2021",268,3,534,2797,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","two-dose-mRNA","",NA,NA,NA,"symp","CC","Powell, 2021-268"
"Reis, 2021",279,3,11,47303,"12-18yr","0","1","0","0","all","Israeli",0,1,0,0,0,NA,"1","0","0","delta","0","0","0","1","0","two-dose-mRNA","",NA,NA,NA,"symp","RC","Reis, 2021-279"
"Cerqueira-Silva, 2021",361,3,84,1037,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"symp","CC","Cerqueira-Silva, 2021-361"
"Andrews, 2022",14,4,4502,14324,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Bruxvoort, 2021b",56,4,254,352878,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","overall",NA,NA,NA,"symp","PC","Bruxvoort, 2021b-56"
"Butt-B-2022",69,4,105,158993,"all","all","all","all","all","all","All",NA,NA,NA,NA,NA,NA,"1","0","0","overall","all","all","all","all","all","two-dose-mRNA","overall",NA,NA,NA,"symp","CC","Butt-B-2022-69"
"Carazo, 2021",83,4,0.5,127,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"symp","CC","Carazo, 2021-83"
"Andrews, 2022",14,5,1041,2700,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Falsey, 2021",126,5,73,17662,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno","overall",NA,NA,NA,"symp","RCT","Falsey, 2021-126"
"Lopez, 2021",204,5,94,8244,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","two-dose-adeno","",NA,NA,NA,"symp","CC","Lopez, 2021-204"
"Lopez, 2021",207,5,218,8244,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","two-dose-adeno","",NA,NA,NA,"symp","CC","Lopez, 2021-207"
"Nordstrom, 2021-b",233,5,446,430100,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno","",NA,NA,NA,"symp","RC","Nordstrom, 2021-b-233"
"Voysey, 2021a",334,5,22,5807,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno","",NA,NA,NA,"symp","RCT","Voysey, 2021a-334"
"Voysey, 2021b",336,5,56,5731,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno","",NA,NA,NA,"symp","RCT","Voysey, 2021b-336"
"Cerqueira-Silva, 2021",361,5,644,6655,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno","",NA,NA,NA,"symp","CC","Cerqueira-Silva, 2021-361"
"Emary,2021",372,5,12,4244,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","two-dose-adeno","",NA,NA,NA,"symp","RCT","Emary,2021-372"
"Palacios, 2021",238,6,85,4953,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-inactivated","overall",NA,NA,NA,"symp","RCT","Palacios, 2021-238"
"Tanriover, 2021",304,6,9,6646,"all","all","all","all","all","all","Turkish",0,1,0,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-inactivated","",NA,NA,NA,"symp","RCT","Tanriover, 2021-304"
"Cerqueira-Silva, 2021",361,6,2533,23515,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-inactivated","",NA,NA,NA,"symp","CC","Cerqueira-Silva, 2021-361"
"Ella, 2021",106,7,24,8471,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-inactivated","overall",NA,NA,NA,"symp","RCT","Ella, 2021-106"
"Desai, 2022",369,7,189,482,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","two-dose-inactivated","",NA,NA,NA,"symp","CC","Desai, 2022-369"
"Sadoff, 2021",280,8,110,19514,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-adeno","overall",NA,NA,NA,"symp","RCT","Sadoff, 2021-280"
"Cerqueira-Silva, 2021",361,8,126,1099,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-adeno","",NA,NA,NA,"symp","CC","Cerqueira-Silva, 2021-361"
"Palacios, 2021",237,9,94,5717,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-inactivated","overall",NA,NA,NA,"symp","RCT","Palacios, 2021-237"
"Cerqueira-Silva, 2021",361,9,630,4627,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-inactivated","",NA,NA,NA,"symp","CC","Cerqueira-Silva, 2021-361"
"Carazo, 2021",83,10,924,25513,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-mRNA","",NA,NA,NA,"symp","CC","Carazo, 2021-83"
"Lopez, 2021",204,10,450,8641,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","one-dose-mRNA","",NA,NA,NA,"symp","CC","Lopez, 2021-204"
"Lopez, 2021",207,10,137,8641,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","one-dose-mRNA","",NA,NA,NA,"symp","CC","Lopez, 2021-207"
"Powell, 2021",262,10,2632,10831,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","one-dose-mRNA","",NA,NA,NA,"symp","CC","Powell, 2021-262"
"Powell, 2021",264,10,571,3690,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","one-dose-mRNA","",NA,NA,NA,"symp","CC","Powell, 2021-264"
"Powell, 2021",266,10,1414,7477,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","one-dose-mRNA","",NA,NA,NA,"symp","CC","Powell, 2021-266"
"Powell, 2021",268,10,219,667,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","one-dose-mRNA","",NA,NA,NA,"symp","CC","Powell, 2021-268"
"Reis, 2021",278,10,15,57878,"12-18yr","0","1","0","0","all","Israeli",0,1,0,0,0,NA,"1","0","0","delta","0","0","0","1","0","one-dose-mRNA","",NA,NA,NA,"symp","RC","Reis, 2021-278"
"Cerqueira-Silva, 2021",361,10,670,6318,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-mRNA","",NA,NA,NA,"symp","CC","Cerqueira-Silva, 2021-361"
"Carazo, 2021",83,11,46,1575,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-mRNA","",NA,NA,NA,"symp","CC","Carazo, 2021-83"
"Andrews, 2022",14,12,7680,16150,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-adeno","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Lopez, 2021",204,12,1776,42829,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","one-dose-adeno","",NA,NA,NA,"symp","CC","Lopez, 2021-204"
"Lopez, 2021",207,12,1356,42829,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","one-dose-adeno","",NA,NA,NA,"symp","CC","Lopez, 2021-207"
"Voysey, 2021a",331,12,57,6307,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-adeno","",NA,NA,NA,"symp","RCT","Voysey, 2021a-331"
"Cerqueira-Silva, 2021",361,12,1897,4627,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-adeno","",NA,NA,NA,"symp","CC","Cerqueira-Silva, 2021-361"
"Desai, 2022",369,13,246,481,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","one-dose-inactivated","",NA,NA,NA,"symp","CC","Desai, 2022-369"
"Heath, 2021",159,14,10,7020,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"one-dose-protein-based","overall",NA,NA,NA,"symp","RCT","Heath, 2021-159"
"Nordstrom, 2021-b",232,15,17,16402,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno-with-one-dose-mRNA","",NA,NA,NA,"symp","RC","Nordstrom, 2021-b-232"
"Nordstrom, 2021-b",231,16,170,94569,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno-with-one-dose-mRNA","",NA,NA,NA,"symp","RC","Nordstrom, 2021-b-231"
"Andrews, 2022",14,17,34,87,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"three-dose-mRNA","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Andrews, 2022",14,18,42,122,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno-with-one-dose-mRNA","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Andrews, 2022",14,19,15913,34081,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno-with-one-dose-mRNA","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Andrews, 2022",14,20,7,11,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"three-dose-mRNA","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Butt-B-2022",69,20,17,158993,"all","all","all","all","all","all","All",NA,NA,NA,NA,NA,NA,"1","0","0","overall","all","all","all","all","all","three-dose-mRNA","overall",NA,NA,NA,"symp","CC","Butt-B-2022-69"
"Andrews, 2022",14,21,42791,104325,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"three-dose-mRNA","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Butt-B-2022",67,21,68,236693,"all","all","all","all","all","all","All",NA,NA,NA,NA,NA,NA,"1","0","0","overall","all","all","all","all","all","three-dose-mRNA","overall",NA,NA,NA,"symp","CC","Butt-B-2022-67"
"Andrews, 2022",14,22,36,120,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"three-dose-adeno","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
