author,studyID,treatment,responders,sampleSize,age,child,young,adult,elder,X.female.1.,ethnic.asian.,asian,middle.east,hispanic,white,black,condition.not.at.risk.,not.at.risk,chronic.dis,immuno,variant.wildtype.,alpha,beta,gamma,delta,omicron,platform,subgroup,ROB.low.,moderate,critical,outcome,study.type,study
"Ferdinands, 2022",138,1,1890,3911,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,doc-infect,CC,"Ferdinands, 2022-138"
"martinez-baz, 2021",212,1,4811,14348,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Nordstrom, 2021-a",228,1,7104,842974,45-55yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Nordstrom, 2021-a-228"
"Poukka, 2021",259,1,3874,42791,17-70yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Poukka, 2021-259"
"Prunas, 2022",274,1,9021,137293,14yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Prunas, 2022-274"
"Reis, 2021",276,1,400,56997,12-18yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Reis, 2021-276"
"Reis, 2021",277,1,818,46384,12-18yr,0,1,0,0,all,Israeli,0,1,0,0,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,RC,"Reis, 2021-277"
"Shrotri, 2021",294,1,723,15392,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,PC,"Shrotri, 2021-294"
"Skowronski, 2021a",296,1,475,4542,70,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021a-296"
"Skowronski, 2021b",298,1,5258,40616,50-69yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021b-298"
"Tartof, 2021",321,1,994,2290189,12,1,0,0,0,all,US,0,0,0,1,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,RC,"Tartof, 2021-321"
"Wickert, 2021",340,1,112,628,17-26yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,PC,"Wickert, 2021-340"
"Tartof, 2022",341,1,166671,1254548,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Tartof, 2022-341"
"Cerqueira-Silva, 2022a",353,1,2661562,5529996,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Cerqueira-Silva, 2022a-353"
"Al, 2021",5,2,116,12722,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Al, 2021-5"
"Ali, 2021",6,2,7,1243,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Ali, 2021-6"
"Baden, 2021",15,2,185,14073,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Baden, 2021-15"
"Dunkle, 2022",91,2,141,385,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-91"
"Dunkle, 2022",92,2,69,323,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-92"
"Dunkle, 2022",93,2,69,9144,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-93"
"Ella, 2021",111,2,61,8502,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,all,all,all,all,all,all,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Ella, 2021-111"
"Frenck, 2021",140,2,16,978,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Frenck, 2021-140"
"Polack, 2020",242,2,47,4581,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Polack, 2020-242"
"Sadoff, 2021",284,2,345,19544,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Sadoff, 2021-284"
"Voysey, 2021a",329,2,62,3064,all,all,all,all,all,all,UK,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021a-329"
"Voysey, 2021a",330,2,79,3233,all,all,all,all,all,all,brazilian,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021a-330"
"Voysey, 2021a",332,2,38,2430,all,all,all,all,all,all,UK,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021a-332"
"Voysey, 2021a",333,2,33,2025,all,all,all,all,all,all,brazilian,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021a-333"
"Voysey, 2021b",337,2,140,4239,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021b-337"
"Voysey, 2021b",338,2,51,1973,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021b-338"
"Walter, 2022",339,2,16,750,5-11yr,1,0,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Walter, 2022-339"
"Emary,2021",373,2,11,4290,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Emary,2021-373"
"Abu Raddad, 2021",1,3,50,515,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,two-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Abu Raddad, 2021-1"
"Abu Raddad, 2021",2,3,179,877,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,beta,0,1,0,0,0,two-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Abu Raddad, 2021-2"
"Bjork, 2022",36,3,8,19088,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Bjork, 2022-36"
"Carazo, 2021",79,3,48,2002,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Carazo, 2021-79"
"Frenck, 2021",140,3,0.5,1006,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RCT,"Frenck, 2021-140"
"martinez-baz, 2021",212,3,1070,7972,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Nordstrom, 2021-a",228,3,5062,842974,45-55yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Nordstrom, 2021-a-228"
"Polack, 2020",242,3,8,18198,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,overall,NA,NA,NA,doc-infect,RCT,"Polack, 2020-242"
"Poukka, 2021",259,3,154,316650,17-70yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Poukka, 2021-259"
"Pozzetto, 2021",272,3,81,10609,19-76yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,PC,"Pozzetto, 2021-272"
"Prunas, 2022",274,3,959,67038,14yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Prunas, 2022-274"
"Reis, 2021",277,3,79,46815,12-18yr,0,1,0,0,all,Israeli,0,1,0,0,0,NA,1,0,0,delta,0,0,0,1,0,two-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Reis, 2021-277"
"Tartof, 2021",321,3,7,27274,12,1,0,0,0,all,US,0,0,0,1,0,NA,1,0,0,delta,0,0,0,1,0,two-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Tartof, 2021-321"
"Walter, 2022",339,3,3,1518,5-11yr,1,0,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RCT,"Walter, 2022-339"
"Wickert, 2021",340,3,2,1508,17-26yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,PC,"Wickert, 2021-340"
"Tartof, 2022",341,3,4070,108473,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Tartof, 2022-341"
"Ali, 2021",6,4,1,2489,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RCT,"Ali, 2021-6"
"Baden, 2021",15,4,11,14134,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,overall,NA,NA,NA,doc-infect,RCT,"Baden, 2021-15"
"Bruxvoort, 2021a",45,4,2,46,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,two-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-45"
"Bruxvoort, 2021a",46,4,39,46,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,two-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-46"
"Bruxvoort, 2021a",48,4,2,46,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,gamma,0,0,1,0,0,two-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-48"
"Bruxvoort, 2021b",53,4,289,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,overall,NA,NA,NA,doc-infect,PC,"Bruxvoort, 2021b-53"
"Carazo, 2021",79,4,2,128,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Carazo, 2021-79"
"martinez-baz, 2021",212,4,85,1127,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Nordstrom, 2021-a",228,4,300,842974,45-55yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Nordstrom, 2021-a-228"
"Poukka, 2021",259,4,8,316650,17-70yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Poukka, 2021-259"
"martinez-baz, 2021",212,5,272,1539,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Nordstrom, 2021-a",228,5,465,842974,45-55yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno,,NA,NA,NA,doc-infect,RC,"Nordstrom, 2021-a-228"
"Poukka, 2021",259,5,5,12837,17-70yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno,,NA,NA,NA,doc-infect,RC,"Poukka, 2021-259"
"Prieto-Alhambra, 2021",273,5,389,3268,40yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno,,NA,NA,NA,doc-infect,RC,"Prieto-Alhambra, 2021-273"
"Voysey, 2021a",332,5,15,2377,all,all,all,all,all,all,UK,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021a-332"
"Voysey, 2021a",333,5,12,2063,all,all,all,all,all,all,brazilian,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021a-333"
"Voysey, 2021b",337,5,73,4223,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021b-337"
"Emary,2021",373,5,8,4244,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,two-dose-adeno,,NA,NA,NA,doc-infect,RCT,"Emary,2021-373"
"Cerqueira-Silva, 2022a",87,6,322786,913052,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-inactivated,,NA,NA,NA,doc-infect,CC,"Cerqueira-Silva, 2022a-87"
"Cerqueira-Silva, 2022a",353,6,25134,80547,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-inactivated,,NA,NA,NA,doc-infect,CC,"Cerqueira-Silva, 2022a-353"
"Dunkle, 2022",92,7,16,463,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-protein-based,overall,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-92"
"Ella, 2021",111,8,18,8471,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,all,all,all,all,all,all,two-dose-inactivated,overall,NA,NA,NA,doc-infect,RCT,"Ella, 2021-111"
"martinez-baz, 2021",212,9,209,997,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-adeno,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Sadoff, 2021",284,9,114,19514,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-adeno,overall,NA,NA,NA,doc-infect,RCT,"Sadoff, 2021-284"
"Abu Raddad, 2021",1,10,892,2133,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Abu Raddad, 2021-1"
"Abu Raddad, 2021",2,10,1329,2909,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,beta,0,1,0,0,0,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Abu Raddad, 2021-2"
"Bjork, 2022",36,10,25,14690,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Bjork, 2022-36"
"Carazo, 2021",79,10,1202,25791,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Carazo, 2021-79"
"martinez-baz, 2021",212,10,351,2022,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Prunas, 2022",274,10,380,7215,14yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Prunas, 2022-274"
"Reis, 2021",276,10,137,57358,12-18yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Reis, 2021-276"
"Shrotri, 2021",294,10,23,4681,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,PC,"Shrotri, 2021-294"
"Skowronski, 2021a",296,10,646,10569,70,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021a-296"
"Skowronski, 2021b",298,10,1030,16396,50-69yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021b-298"
"Tartof, 2021",321,10,13,27274,12,1,0,0,0,all,US,0,0,0,1,0,NA,1,0,0,delta,0,0,0,1,0,one-dose-mRNA,,NA,NA,NA,doc-infect,RC,"Tartof, 2021-321"
"Bruxvoort, 2021a",37,11,2,9,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-37"
"Bruxvoort, 2021a",38,11,3,9,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-38"
"Bruxvoort, 2021a",40,11,1,9,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,gamma,0,0,1,0,0,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Bruxvoort, 2021a-40"
"Carazo, 2021",79,11,64,1593,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Carazo, 2021-79"
"martinez-baz, 2021",212,11,70,517,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Skowronski, 2021a",296,11,105,1882,70,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021a-296"
"Skowronski, 2021b",298,11,252,4083,50-69yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-mRNA,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021b-298"
"martinez-baz, 2021",212,12,302,1599,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-adeno,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Shrotri, 2021",294,12,36,4681,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-adeno,,NA,NA,NA,doc-infect,PC,"Shrotri, 2021-294"
"Skowronski, 2021b",298,12,576,6979,50-69yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-adeno,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021b-298"
"Voysey, 2021a",329,12,28,3060,all,all,all,all,all,all,UK,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-adeno,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021a-329"
"Voysey, 2021a",330,12,23,3247,all,all,all,all,all,all,brazilian,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-adeno,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021a-330"
"Voysey, 2021b",338,12,18,1923,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-adeno,,NA,NA,NA,doc-infect,RCT,"Voysey, 2021b-338"
"Dunkle, 2022",91,13,121,561,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,one-dose-protein-based,overall,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-91"
"martinez-baz, 2021",212,14,7,119,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno-with-one-dose-mRNA,,NA,NA,NA,doc-infect,PC,"martinez-baz, 2021-212"
"Pozzetto, 2021",272,14,10,2512,19-76yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,two-dose-adeno-with-one-dose-mRNA,,NA,NA,NA,doc-infect,PC,"Pozzetto, 2021-272"
