author,studyID,treatment,responders,sampleSize,age,child,young,adult,elder,(female=1),ethnic(asian),asian,middle-east,hispanic,white,black,condition(not-at-risk),not-at-risk,chronic-dis,immuno,variant(wildtype),alpha,beta,gamma,delta,omicron,subgroup,ROB(low),moderate,critical,outcome,vac_product,study.type,study
"Bruxvoort, 2021a",38,unvaccinated,299,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Bruxvoort, 2021a-38"
"Bruxvoort, 2021a",40,unvaccinated,57,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,gamma,0,0,1,0,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Bruxvoort, 2021a-40"
"Bruxvoort, 2021a",43,unvaccinated,309,4859,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Bruxvoort, 2021a-43"
"Bruxvoort, 2021a",44,unvaccinated,30,4859,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,death,UNVAC,CC,"Bruxvoort, 2021a-44"
"Bruxvoort, 2021a",45,unvaccinated,235,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Bruxvoort, 2021a-45"
"Bruxvoort, 2021a",46,unvaccinated,299,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Bruxvoort, 2021a-46"
"Bruxvoort, 2021a",48,unvaccinated,57,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,gamma,0,0,1,0,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Bruxvoort, 2021a-48"
"Bruxvoort, 2021a",51,unvaccinated,309,4859,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,CC,"Bruxvoort, 2021a-51"
"Bruxvoort, 2021a",52,unvaccinated,30,4859,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,death,UNVAC,CC,"Bruxvoort, 2021a-52"
"Bruxvoort, 2021b",53,unvaccinated,1144,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,overall,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-53"
"Bruxvoort, 2021b",54,unvaccinated,182,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,overall,NA,NA,NA,hosp,UNVAC,PC,"Bruxvoort, 2021b-54"
"Bruxvoort, 2021b",55,unvaccinated,25,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,overall,NA,NA,NA,death,UNVAC,PC,"Bruxvoort, 2021b-55"
"Bruxvoort, 2021b",56,unvaccinated,1078,352878,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,overall,NA,NA,NA,symp,UNVAC,PC,"Bruxvoort, 2021b-56"
"Bruxvoort, 2021b",57,unvaccinated,88,88220,18-44yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-57"
"Bruxvoort, 2021b",58,unvaccinated,79,88220,45-64yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-58"
"Bruxvoort, 2021b",59,unvaccinated,68,88220,65-74yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-59"
"Bruxvoort, 2021b",60,unvaccinated,52,88220,=75yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-60"
"Bruxvoort, 2021b",61,unvaccinated,351,176439,all,all,all,all,all,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-61"
"Bruxvoort, 2021b",62,unvaccinated,221,176439,all,all,all,all,all,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-62"
"Bruxvoort, 2021b",63,unvaccinated,100,88220,all,all,all,all,all,all,white,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-63"
"Bruxvoort, 2021b",64,unvaccinated,27,88220,all,all,all,all,all,all,black,0,0,0,0,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-64"
"Bruxvoort, 2021b",65,unvaccinated,116,88220,all,all,all,all,all,all,hispanic,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-65"
"Bruxvoort, 2021b",66,unvaccinated,29,88220,all,all,all,all,all,all,asian,1,0,0,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,doc-infect,UNVAC,PC,"Bruxvoort, 2021b-66"
"Chin, 2021",88,unvaccinated,12318,53415,all,all,all,all,all,all,All,NA,NA,NA,NA,NA,NA,1,0,0,overall,all,all,all,all,all,,NA,NA,NA,doc-infect,UNVAC,RC,"Chin, 2021-88"
"Collie, 2022",89,unvaccinated,5231,53371,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,hosp,UNVAC,CC,"Collie, 2022-89"
"Ferdinands, 2022",136,unvaccinated,14445,36214,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Ferdinands, 2022-136"
"Ferdinands, 2022",138,unvaccinated,1890,3911,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,doc-infect,UNVAC,CC,"Ferdinands, 2022-138"
"Glatman-Freedman, 2021b",141,unvaccinated,4709,133994,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,RC,"Glatman-Freedman, 2021b-141"
"Glatman-Freedman, 2021b",142,unvaccinated,2145,10586,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,RC,"Glatman-Freedman, 2021b-142"
"Glatman-Freedman, 2021b",143,unvaccinated,803,2024,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,RC,"Glatman-Freedman, 2021b-143"
"Glatman-Freedman, 2021b",144,unvaccinated,3277,65742,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,RC,"Glatman-Freedman, 2021b-144"
"Glatman-Freedman, 2021b",145,unvaccinated,1255,5095,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,RC,"Glatman-Freedman, 2021b-145"
"Glatman-Freedman, 2021b",146,unvaccinated,426,919,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,RC,"Glatman-Freedman, 2021b-146"
"Glatman-Freedman, 2021b",147,unvaccinated,2635,133994,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,severe,UNVAC,RC,"Glatman-Freedman, 2021b-147"
"Glatman-Freedman, 2021b",148,unvaccinated,1590,10586,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,severe,UNVAC,RC,"Glatman-Freedman, 2021b-148"
"Glatman-Freedman, 2021b",149,unvaccinated,627,2024,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,severe,UNVAC,RC,"Glatman-Freedman, 2021b-149"
"Glatman-Freedman, 2021b",150,unvaccinated,1880,65742,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,severe,UNVAC,RC,"Glatman-Freedman, 2021b-150"
"Glatman-Freedman, 2021b",151,unvaccinated,963,5095,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,severe,UNVAC,RC,"Glatman-Freedman, 2021b-151"
"Glatman-Freedman, 2021b",152,unvaccinated,333,919,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,severe,UNVAC,RC,"Glatman-Freedman, 2021b-152"
"Glatman-Freedman, 2021b",153,unvaccinated,819,133994,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,death,UNVAC,RC,"Glatman-Freedman, 2021b-153"
"Glatman-Freedman, 2021b",154,unvaccinated,721,10586,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,death,UNVAC,RC,"Glatman-Freedman, 2021b-154"
"Glatman-Freedman, 2021b",155,unvaccinated,394,2024,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,death,UNVAC,RC,"Glatman-Freedman, 2021b-155"
"Glatman-Freedman, 2021b",156,unvaccinated,440,65742,>=16,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,death,UNVAC,RC,"Glatman-Freedman, 2021b-156"
"Glatman-Freedman, 2021b",157,unvaccinated,370,5114,>=60,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,death,UNVAC,RC,"Glatman-Freedman, 2021b-157"
"Glatman-Freedman, 2021b",158,unvaccinated,191,919,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,death,UNVAC,RC,"Glatman-Freedman, 2021b-158"
"Lauring, 2022",168,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-168"
"Lauring, 2022",169,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-169"
"Lauring, 2022",170,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-170"
"Lauring, 2022",171,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-171"
"Lauring, 2022",172,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-172"
"Lauring, 2022",173,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-173"
"Lauring, 2022",174,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-174"
"Lauring, 2022",175,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-175"
"Lauring, 2022",176,unvaccinated,106,334,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-176"
"Lauring, 2022",177,unvaccinated,76,944,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,death,UNVAC,CC,"Lauring, 2022-177"
"Lauring, 2022",178,unvaccinated,323,2743,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,death,UNVAC,CC,"Lauring, 2022-178"
"Lauring, 2022",179,unvaccinated,25,272,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,death,UNVAC,CC,"Lauring, 2022-179"
"Lauring, 2022",180,unvaccinated,953,1798,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-180"
"Lauring, 2022",181,unvaccinated,123,303,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,immunocompromised,0,0,1,alpha,1,0,0,0,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-181"
"Lauring, 2022",182,unvaccinated,830,1495,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,not-immunocompromised,1,0,0,alpha,1,0,0,0,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-182"
"Lauring, 2022",183,unvaccinated,733,1361,18-64yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-183"
"Lauring, 2022",184,unvaccinated,220,437,=65yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-184"
"Lauring, 2022",185,unvaccinated,258,401,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,no-chronic,1,0,0,alpha,1,0,0,0,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-185"
"Lauring, 2022",186,unvaccinated,695,1397,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,>=1chronic,0,1,1,alpha,1,0,0,0,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-186"
"Lauring, 2022",187,unvaccinated,953,1798,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-187"
"Lauring, 2022",188,unvaccinated,2871,3994,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-188"
"Lauring, 2022",189,unvaccinated,285,495,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,immunocompromised,0,0,1,delta,0,0,0,1,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-189"
"Lauring, 2022",190,unvaccinated,2586,3496,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,not-immunocompromised,1,0,0,delta,0,0,0,1,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-190"
"Lauring, 2022",191,unvaccinated,2159,2964,18-64yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-191"
"Lauring, 2022",192,unvaccinated,712,1027,=65yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-192"
"Lauring, 2022",193,unvaccinated,994,1148,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,no-chronic,1,0,0,delta,0,0,0,1,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-193"
"Lauring, 2022",194,unvaccinated,1877,2843,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,>=1chronic,0,1,1,delta,0,0,0,1,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-194"
"Lauring, 2022",195,unvaccinated,2871,3991,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-195"
"Lauring, 2022",197,unvaccinated,2871,3991,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,overall,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-197"
"Lauring, 2022",198,unvaccinated,285,495,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,immunocompromised,0,0,1,delta,0,0,0,1,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-198"
"Lauring, 2022",199,unvaccinated,2586,3496,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,immunocompetent,0,0,1,delta,0,0,0,1,0,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-199"
"Lauring, 2022",200,unvaccinated,268,357,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,overall,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-200"
"Lauring, 2022",201,unvaccinated,226,301,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,immunocompetent,0,0,1,omicron,0,0,0,0,1,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-201"
"Lauring, 2022",202,unvaccinated,268,357,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,overall,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-202"
"Lauring, 2022",203,unvaccinated,226,301,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,immunocompetent,0,0,1,omicron,0,0,0,0,1,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Lauring, 2022-203"
"Lopez, 2021",204,unvaccinated,3657,48186,=16yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,symp,UNVAC,CC,"Lopez, 2021-204"
"Lopez, 2021",207,unvaccinated,3656,48185,=16yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,symp,UNVAC,CC,"Lopez, 2021-207"
"martinez-baz, 2021",212,unvaccinated,4811,14348,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,doc-infect,UNVAC,PC,"martinez-baz, 2021-212"
"martinez-baz, 2021",220,unvaccinated,3278,14348,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,PC,"martinez-baz, 2021-220"
"Nordstrom, 2021-a",228,unvaccinated,7104,842974,45-55yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,doc-infect,UNVAC,RC,"Nordstrom, 2021-a-228"
"Nordstrom, 2021-b",231,unvaccinated,259,60190,30-80yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,symp,UNVAC,RC,"Nordstrom, 2021-b-231"
"Nordstrom, 2021-b",232,unvaccinated,47,10984,30-80yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,symp,UNVAC,RC,"Nordstrom, 2021-b-232"
"Nordstrom, 2021-b",233,unvaccinated,323,109542,30-80yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,symp,UNVAC,RC,"Nordstrom, 2021-b-233"
"Olson, 2022",234,unvaccinated,139,351,12-18yr,0,1,0,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,CC,"Olson, 2022-234"
"Olson, 2022",235,unvaccinated,32,244,12-18yr,0,1,0,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,hosp,UNVAC,CC,"Olson, 2022-235"
"Olson, 2022",236,unvaccinated,139,351,12-18yr,0,1,0,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,severe,UNVAC,CC,"Olson, 2022-236"
"Poukka, 2021",259,unvaccinated,3874,42791,17-70yr,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,doc-infect,UNVAC,RC,"Poukka, 2021-259"
"Powell, 2021",262,unvaccinated,224265,442014,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,symp,UNVAC,CC,"Powell, 2021-262"
"Powell, 2021",264,unvaccinated,19983,59316,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,symp,UNVAC,CC,"Powell, 2021-264"
"Powell, 2021",266,unvaccinated,46952,88982,16-17yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,symp,UNVAC,CC,"Powell, 2021-266"
"Powell, 2021",268,unvaccinated,8592,18742,16-17yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,,NA,NA,NA,symp,UNVAC,CC,"Powell, 2021-268"
"Powell, 2021",270,unvaccinated,255,189833,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Powell, 2021-270"
"Powell, 2021",271,unvaccinated,255,34338,16-17yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,,NA,NA,NA,hosp,UNVAC,CC,"Powell, 2021-271"
"Shrotri, 2021",294,unvaccinated,723,15392,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,doc-infect,UNVAC,PC,"Shrotri, 2021-294"
"Skowronski, 2021a",296,unvaccinated,475,4542,70,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,doc-infect,UNVAC,CC,"Skowronski, 2021a-296"
