"","author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","subgroup","ROB.low.","moderate","critical","outcome","vac_product","study.type","study"
"11","Bruxvoort, 2021a",38,1,299,810,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"doc-infect","UNVAC","CC","Bruxvoort, 2021a-38"
"12","Bruxvoort, 2021a",40,1,57,810,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","gamma","0","0","1","0","0","",NA,NA,NA,"doc-infect","UNVAC","CC","Bruxvoort, 2021a-40"
"13","Bruxvoort, 2021a",43,1,309,4859,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Bruxvoort, 2021a-43"
"14","Bruxvoort, 2021a",44,1,30,4859,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","CC","Bruxvoort, 2021a-44"
"15","Bruxvoort, 2021a",45,1,235,810,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"doc-infect","UNVAC","CC","Bruxvoort, 2021a-45"
"16","Bruxvoort, 2021a",46,1,299,810,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"doc-infect","UNVAC","CC","Bruxvoort, 2021a-46"
"17","Bruxvoort, 2021a",48,1,57,810,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","gamma","0","0","1","0","0","",NA,NA,NA,"doc-infect","UNVAC","CC","Bruxvoort, 2021a-48"
"18","Bruxvoort, 2021a",51,1,309,4859,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","CC","Bruxvoort, 2021a-51"
"19","Bruxvoort, 2021a",52,1,30,4859,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","CC","Bruxvoort, 2021a-52"
"20","Bruxvoort, 2021b",53,1,1144,352878,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-53"
"21","Bruxvoort, 2021b",54,1,182,352878,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"hosp","UNVAC","PC","Bruxvoort, 2021b-54"
"22","Bruxvoort, 2021b",55,1,25,352878,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"death","UNVAC","PC","Bruxvoort, 2021b-55"
"23","Bruxvoort, 2021b",56,1,1078,352878,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"symp","UNVAC","PC","Bruxvoort, 2021b-56"
"24","Bruxvoort, 2021b",57,1,88,88220,"18-44yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-57"
"25","Bruxvoort, 2021b",58,1,79,88220,"45-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-58"
"26","Bruxvoort, 2021b",59,1,68,88220,"65-74yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-59"
"27","Bruxvoort, 2021b",60,1,52,88220,"=75yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-60"
"28","Bruxvoort, 2021b",61,1,351,176439,"all","all","all","all","all","1",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-61"
"29","Bruxvoort, 2021b",62,1,221,176439,"all","all","all","all","all","0",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-62"
"30","Bruxvoort, 2021b",63,1,100,88220,"all","all","all","all","all","all","white",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-63"
"31","Bruxvoort, 2021b",64,1,27,88220,"all","all","all","all","all","all","black",0,0,0,0,1,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-64"
"32","Bruxvoort, 2021b",65,1,116,88220,"all","all","all","all","all","all","hispanic",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-65"
"33","Bruxvoort, 2021b",66,1,29,88220,"all","all","all","all","all","all","asian",1,0,0,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","PC","Bruxvoort, 2021b-66"
"34","Chin, 2021",88,1,12318,53415,"all","all","all","all","all","all","All",NA,NA,NA,NA,NA,NA,"1","0","0","overall","all","all","all","all","all","",NA,NA,NA,"doc-infect","UNVAC","RC","Chin, 2021-88"
"35","Collie, 2022",89,1,5231,53371,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"hosp","UNVAC","CC","Collie, 2022-89"
"36","Ferdinands, 2022",136,1,14445,36214,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"doc-infect","UNVAC","CC","Ferdinands, 2022-136"
"37","Ferdinands, 2022",138,1,1890,3911,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"doc-infect","UNVAC","CC","Ferdinands, 2022-138"
"38","Glatman-Freedman, 2021b",141,1,4709,133994,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Glatman-Freedman, 2021b-141"
"39","Glatman-Freedman, 2021b",142,1,2145,10586,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Glatman-Freedman, 2021b-142"
"40","Glatman-Freedman, 2021b",143,1,803,2024,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Glatman-Freedman, 2021b-143"
"41","Glatman-Freedman, 2021b",144,1,3277,65742,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Glatman-Freedman, 2021b-144"
"42","Glatman-Freedman, 2021b",145,1,1255,5095,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Glatman-Freedman, 2021b-145"
"43","Glatman-Freedman, 2021b",146,1,426,919,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Glatman-Freedman, 2021b-146"
"44","Glatman-Freedman, 2021b",147,1,2635,133994,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","UNVAC","RC","Glatman-Freedman, 2021b-147"
"45","Glatman-Freedman, 2021b",148,1,1590,10586,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","UNVAC","RC","Glatman-Freedman, 2021b-148"
"46","Glatman-Freedman, 2021b",149,1,627,2024,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","UNVAC","RC","Glatman-Freedman, 2021b-149"
"47","Glatman-Freedman, 2021b",150,1,1880,65742,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","UNVAC","RC","Glatman-Freedman, 2021b-150"
"48","Glatman-Freedman, 2021b",151,1,963,5095,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","UNVAC","RC","Glatman-Freedman, 2021b-151"
"49","Glatman-Freedman, 2021b",152,1,333,919,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","UNVAC","RC","Glatman-Freedman, 2021b-152"
"50","Glatman-Freedman, 2021b",153,1,819,133994,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","RC","Glatman-Freedman, 2021b-153"
"51","Glatman-Freedman, 2021b",154,1,721,10586,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","RC","Glatman-Freedman, 2021b-154"
"52","Glatman-Freedman, 2021b",155,1,394,2024,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","RC","Glatman-Freedman, 2021b-155"
"53","Glatman-Freedman, 2021b",156,1,440,65742,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","RC","Glatman-Freedman, 2021b-156"
"54","Glatman-Freedman, 2021b",157,1,370,5114,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","RC","Glatman-Freedman, 2021b-157"
"55","Glatman-Freedman, 2021b",158,1,191,919,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","RC","Glatman-Freedman, 2021b-158"
"56","Lauring, 2022",168,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-168"
"57","Lauring, 2022",169,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-169"
"58","Lauring, 2022",170,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-170"
"59","Lauring, 2022",171,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-171"
"60","Lauring, 2022",172,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-172"
"61","Lauring, 2022",173,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-173"
"62","Lauring, 2022",174,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-174"
"63","Lauring, 2022",175,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-175"
"64","Lauring, 2022",176,1,106,334,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-176"
"65","Lauring, 2022",177,1,76,944,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"death","UNVAC","CC","Lauring, 2022-177"
"66","Lauring, 2022",178,1,323,2743,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"death","UNVAC","CC","Lauring, 2022-178"
"67","Lauring, 2022",179,1,25,272,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"death","UNVAC","CC","Lauring, 2022-179"
"68","Lauring, 2022",180,1,953,1798,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-180"
"69","Lauring, 2022",181,1,123,303,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"immunocompromised","0","0","1","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-181"
"70","Lauring, 2022",182,1,830,1495,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"not-immunocompromised","1","0","0","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-182"
"71","Lauring, 2022",183,1,733,1361,"18-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-183"
"72","Lauring, 2022",184,1,220,437,"=65yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-184"
"73","Lauring, 2022",185,1,258,401,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"no-chronic","1","0","0","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-185"
"74","Lauring, 2022",186,1,695,1397,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,">=1chronic","0","1","1","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-186"
"75","Lauring, 2022",187,1,953,1798,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-187"
"76","Lauring, 2022",188,1,2871,3994,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-188"
"77","Lauring, 2022",189,1,285,495,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"immunocompromised","0","0","1","delta","0","0","0","1","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-189"
"78","Lauring, 2022",190,1,2586,3496,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"not-immunocompromised","1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-190"
"79","Lauring, 2022",191,1,2159,2964,"18-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-191"
"80","Lauring, 2022",192,1,712,1027,"=65yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-192"
"81","Lauring, 2022",193,1,994,1148,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"no-chronic","1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-193"
"82","Lauring, 2022",194,1,1877,2843,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,">=1chronic","0","1","1","delta","0","0","0","1","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-194"
"83","Lauring, 2022",195,1,2871,3991,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-195"
"84","Lauring, 2022",197,1,2871,3991,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"overall","1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-197"
"85","Lauring, 2022",198,1,285,495,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"immunocompromised","0","0","1","delta","0","0","0","1","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-198"
"86","Lauring, 2022",199,1,2586,3496,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"immunocompetent","0","0","1","delta","0","0","0","1","0","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-199"
"87","Lauring, 2022",200,1,268,357,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"overall","1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-200"
"88","Lauring, 2022",201,1,226,301,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"immunocompetent","0","0","1","omicron","0","0","0","0","1","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-201"
"89","Lauring, 2022",202,1,268,357,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"overall","1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-202"
"90","Lauring, 2022",203,1,226,301,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"immunocompetent","0","0","1","omicron","0","0","0","0","1","subgroup",NA,NA,NA,"hosp","UNVAC","CC","Lauring, 2022-203"
"91","Lopez, 2021",204,1,3657,48186,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","",NA,NA,NA,"symp","UNVAC","CC","Lopez, 2021-204"
"92","Lopez, 2021",207,1,3656,48185,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"symp","UNVAC","CC","Lopez, 2021-207"
"93","martinez-baz, 2021",212,1,4811,14348,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","PC","martinez-baz, 2021-212"
"94","martinez-baz, 2021",220,1,3278,14348,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","PC","martinez-baz, 2021-220"
"95","Nordstrom, 2021-a",228,1,7104,842974,"45-55yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","RC","Nordstrom, 2021-a-228"
"96","Nordstrom, 2021-b",231,1,259,60190,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","UNVAC","RC","Nordstrom, 2021-b-231"
"97","Nordstrom, 2021-b",232,1,47,10984,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","UNVAC","RC","Nordstrom, 2021-b-232"
"98","Nordstrom, 2021-b",233,1,323,109542,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","UNVAC","RC","Nordstrom, 2021-b-233"
"99","Olson, 2022",234,1,139,351,"12-18yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","CC","Olson, 2022-234"
"100","Olson, 2022",235,1,32,244,"12-18yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","CC","Olson, 2022-235"
"101","Olson, 2022",236,1,139,351,"12-18yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","UNVAC","CC","Olson, 2022-236"
"102","Poukka, 2021",259,1,3874,42791,"17-70yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","RC","Poukka, 2021-259"
"103","Powell, 2021",262,1,224265,442014,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"symp","UNVAC","CC","Powell, 2021-262"
"104","Powell, 2021",264,1,19983,59316,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"symp","UNVAC","CC","Powell, 2021-264"
"105","Powell, 2021",266,1,46952,88982,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"symp","UNVAC","CC","Powell, 2021-266"
"106","Powell, 2021",268,1,8592,18742,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"symp","UNVAC","CC","Powell, 2021-268"
"107","Powell, 2021",270,1,255,189833,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Powell, 2021-270"
"108","Powell, 2021",271,1,255,34338,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Powell, 2021-271"
"109","Shrotri, 2021",294,1,723,15392,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","PC","Shrotri, 2021-294"
"110","Skowronski, 2021a",296,1,475,4542,"70","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","CC","Skowronski, 2021a-296"
